"gene","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean"
"10538",-0.772278417230083,0.168826250485096,-4.57439773146095,4.77591819425017e-06,0.0527290397714561,25.6954153736806
"653720",0.422080159036425,0.0926076129281558,4.5577263649358,5.17103459561205e-06,0.0527290397714561,163.8385552325
"4045",0.606279807587968,0.141890226868799,4.27287926002525,1.92964956366787e-05,0.0762142689572948,274.148151384295
"107986273",0.605968004317951,0.144979930716479,4.17966818802648,2.91934743101483e-05,0.0762142689572948,126.227759085616
"152559",0.306607806702659,0.0724813994389711,4.23015848308532,2.33526729435579e-05,0.0762142689572948,1358.81069492933
"9238",-0.366315877413597,0.0871145215247086,-4.20499212992518,2.61091241936011e-05,0.0762142689572948,105.330340530915
"107984429",0.948033042744715,0.227114503070426,4.17425144553951,2.9896741770048e-05,0.0762142689572948,34.4379930627976
"399959",1.43566027426004,0.3399108970458,4.22363709647885,2.4039102531722e-05,0.0762142689572948,271.051856870494
"401014",0.819215753181475,0.199827219740662,4.09962043331565,4.13828280793531e-05,0.0777722333985402,30.013962962525
"107986010",0.689189562645786,0.171917127144153,4.00884760055291,6.1015775932953e-05,0.0777722333985402,46.6623688694722
"3617",0.89987211295407,0.220935275345243,4.07301238585776,4.64089553220809e-05,0.0777722333985402,13.1296428314272
"146057",0.222178610213577,0.0544785077388214,4.07828003070011,4.53701001287176e-05,0.0777722333985402,979.392936362893
"22995",-0.486495931453431,0.121338875773097,-4.00939870551609,6.0873558774292e-05,0.0777722333985402,207.032750951722
"366",1.91260376991863,0.471008234580048,4.06065887918904,4.89344240118225e-05,0.0777722333985402,122.895624804166
"105371857",1.10676150426199,0.273086277171952,4.05279062618408,5.06102932768315e-05,0.0777722333985402,19.5314238039113
"2015",-1.06920703605524,0.26641436396301,-4.01332353162345,5.98697649488849e-05,0.0777722333985402,18.534735188868
"6439",2.45877882467112,0.620897857932531,3.96003753799116,7.49379829116289e-05,0.0804360643947242,35.4771219886257
"126308",-0.310804198197834,0.0782134916230556,-3.97379265070703,7.0737149224657e-05,0.0804360643947242,613.072099389959
"101926935",0.75317371533005,0.189766140040437,3.96895734491704,7.21878010671629e-05,0.0804360643947242,34.9425919298335
"107985780",0.47338156563957,0.121357821933566,3.90070914340164,9.5911326879214e-05,0.0931436000178424,401.452695397041
"201294",-0.396689457534999,0.10161695020345,-3.90377251768308,9.47048013634562e-05,0.0931436000178424,304.364410552814
"23321",0.483799388303071,0.124464367228822,3.8870513631715,0.000101469289591146,0.0940620314509925,378.310078096172
"257068",-0.855441498157656,0.222073660192293,-3.85206195735655,0.000117127376644925,0.0955478287718643,22.1325118918114
"105371856",0.748919290755661,0.194289094161616,3.8546645862309,0.000115888400161254,0.0955478287718643,54.2666263282839
"23211",-0.228180338467905,0.0591886946421587,-3.85513381985243,0.000115666341654285,0.0955478287718643,545.983146806974
"60592",0.48469423928354,0.126399365035835,3.83462558649823,0.000125755706845462,0.0978799787843317,381.269998892575
"23759",-0.255152141013751,0.0666673008010215,-3.82724571038642,0.000129585144021622,0.0978799787843317,435.834778677038
"10242",1.21921925881525,0.322224584337845,3.78375616907283,0.000154479169213889,0.0987855125701221,20.6815248284679
"107986522",0.60757190683722,0.160708415377566,3.78058551202687,0.000156459968023016,0.0987855125701221,43.9751688640807
"101929028",2.17877671151119,0.577886334266708,3.7702513146913,0.000163083238844456,0.0987855125701221,49.3965583425037
"2669",1.81136295580883,0.478444677834445,3.7859402345272,0.000153128477763474,0.0987855125701221,419.038959074099
"112268047",1.82561971876541,0.485465124033283,3.76055792349823,0.000169534811216744,0.0987855125701221,23.6785941856151
"114004396",1.44901817720032,0.384347922232852,3.77006897495975,0.000163202436345466,0.0987855125701221,21.7913460657483
"78994",-0.452368146456948,0.120135466302646,-3.76548375246108,0.00016622693321898,0.0987855125701221,119.418898279837
"7109",-0.204312051308177,0.0541804891505779,-3.77095250543705,0.000162625625422768,0.0987855125701221,951.882473622587
"4176",-0.492435974933669,0.131326574008931,-3.7497054853512,0.000177042374317035,0.1002945050506,218.017907082218
"4313",2.1915044532328,0.587390749846957,3.73091413816746,0.000190786242872105,0.105159314517127,495.667565627349
"1946",0.500098663967522,0.134876028751683,3.7078394774526,0.000209035087623801,0.105376541476556,154.36521004574
"105375721",0.839053250733685,0.225427447022432,3.72205453158591,0.000197608331550213,0.105376541476556,37.2272726975845
"283209",0.700534014180254,0.189105993835748,3.70445166740044,0.00021184849468171,0.105376541476556,372.570833351874
"55333",0.230546028362705,0.0621506887869142,3.70946859741395,0.000207694714641721,0.105376541476556,726.157520551028
"79699",0.345647865239148,0.094821116317868,3.6452625602976,0.000267118943013557,0.114297782152996,858.500814903123
"100628315",0.662005313024793,0.182306667759927,3.63127317919367,0.000282026461922862,0.114297782152996,277.364003607468
"148789",0.366361753897116,0.101299065527837,3.6166350793872,0.000298457599828622,0.114297782152996,249.34025221453
"105374027",1.44232747793082,0.393653631216022,3.66395064990351,0.000248354656605704,0.114297782152996,23.0712237561341
"643749",0.299838668042231,0.0830120908562121,3.61198790380538,0.00030385874303198,0.114297782152996,260.297697810419
"222166",0.427962896521203,0.116634142908036,3.66927630152558,0.000243238075226684,0.114297782152996,390.452857779584
"93986",0.782375754256029,0.216133701042874,3.61986932385352,0.000294751833587531,0.114297782152996,38.5157666283345
"9632",-0.173379168236192,0.0480016965259854,-3.61193834351947,0.000303916834276155,0.114297782152996,694.296568198017
"5198",-0.381531467534773,0.104304146291405,-3.65787440960257,0.000254315600638682,0.114297782152996,164.239297886331
"126374",0.790548981978556,0.217290396584606,3.6382140877116,0.000274535175952794,0.114297782152996,122.103512054109
"653583",-0.504945760056381,0.139711502304395,-3.61420320967015,0.000301272704650933,0.114297782152996,48.1094756607705
"29903",-0.668003526568931,0.185131283639087,-3.60826929645884,0.000308246445935803,0.114297782152996,30.4275426568398
"57727",-0.315706271561862,0.0874298591857101,-3.61096625915031,0.000305058351024763,0.114297782152996,209.682106412869
"139324",0.452418453984249,0.125004961450067,3.61920397987537,0.000295510639120491,0.114297782152996,69.9619726773246
"23768",0.513081157436963,0.142395581549119,3.60320981771458,0.000314311608302618,0.114465552495064,1140.74927345301
"80298",0.277752245349924,0.077422660099102,3.58748000901025,0.000333889322924303,0.117402393995142,389.817596410136
"107985627",0.938850732924129,0.261650673623614,3.5881838938992,0.000332989399254615,0.117402393995142,94.2814759188631
"2921",2.43476531854551,0.682481744096108,3.56751713816193,0.000360379815433224,0.119469699545396,32.9226294664939
"222229",-0.608898016077161,0.170934868265098,-3.56216389468788,0.000367810638186822,0.119469699545396,60.3839189663772
"10631",1.62760795031247,0.45688893034225,3.56237116336622,0.000367520283019725,0.119469699545396,320.778653159533
"160851",0.410881459495509,0.115374837641113,3.56127443293663,0.000369059089504753,0.119469699545396,1711.91938947677
"107985135",1.01324629194297,0.283330050756252,3.57620481568565,0.000348618554850034,0.119469699545396,57.0570750094796
"10922",-0.316350387335616,0.0889518075491334,-3.55642449604946,0.000375936459397079,0.11979450238975,139.673708307194
"2012",2.17506866523837,0.613074392616834,3.54780543997989,0.000388455053748189,0.121879267171393,2490.98067039142
"84251",1.00531863706393,0.285722240622574,3.51851726653619,0.000433965574583516,0.1281420380337,50.1774644922424
"5396",0.75749792705068,0.215849646531463,3.5093776581203,0.000449156641919202,0.1281420380337,870.618630353289
